Route,Date of Journey,Departure Time,Departure Station,Arrival Destination,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Delay in Minutes,Trip ID,Day Type
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,20:15:00,Manchester Piccadilly,Liverpool Lime Street,20:45:00,20:45:00,On Time,No delay,0,78,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/2/2024,20:15:00,Liverpool Lime Street,Manchester Piccadilly,20:45:00,20:45:00,On Time,No delay,0,79,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,0:00:00,Manchester Piccadilly,Liverpool Lime Street,0:30:00,0:30:00,On Time,No delay,0,80,Weekday
London St Pancras to Birmingham New Street,1/2/2024,0:30:00,London St Pancras,Birmingham New Street,1:50:00,1:50:00,On Time,No delay,0,81,Weekday
Oxford to Bristol Temple Meads,1/2/2024,22:30:00,Oxford,Bristol Temple Meads,23:45:00,23:45:00,On Time,No delay,0,82,Weekday
York to Durham,1/2/2024,1:45:00,York,Durham,2:35:00,2:35:00,On Time,No delay,0,83,Weekday
Manchester Piccadilly to London Euston,1/2/2024,1:45:00,Manchester Piccadilly,London Euston,3:35:00,3:35:00,On Time,No delay,0,84,Weekday
London Paddington to Reading,1/2/2024,2:00:00,London Paddington,Reading,3:00:00,3:00:00,On Time,No delay,0,85,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,23:30:00,Liverpool Lime Street,Manchester Piccadilly,0:00:00,0:00:00,On Time,No delay,0,86,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,2:30:00,Manchester Piccadilly,Liverpool Lime Street,3:00:00,3:00:00,On Time,No delay,0,87,Weekday
London Kings Cross to York,1/3/2024,23:45:00,London Kings Cross,York,1:35:00,1:35:00,On Time,No delay,0,88,Weekday
York to Durham,1/3/2024,23:45:00,York,Durham,0:35:00,0:35:00,On Time,No delay,0,89,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/2/2024,2:45:00,Liverpool Lime Street,Manchester Piccadilly,3:15:00,3:15:00,On Time,No delay,0,90,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/3/2024,0:00:00,Manchester Piccadilly,Liverpool Lime Street,0:30:00,0:30:00,On Time,No delay,0,91,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,0:15:00,Liverpool Lime Street,Manchester Piccadilly,0:45:00,0:45:00,On Time,No delay,0,92,Weekday
London Paddington to Reading,1/2/2024,3:15:00,London Paddington,Reading,4:15:00,4:15:00,On Time,No delay,0,93,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,1:30:00,Liverpool Lime Street,Manchester Piccadilly,2:00:00,2:00:00,On Time,No delay,0,94,Weekday
London St Pancras to Birmingham New Street,1/3/2024,1:30:00,London St Pancras,Birmingham New Street,2:50:00,2:50:00,On Time,No delay,0,95,Weekday
London St Pancras to Birmingham New Street,1/2/2024,4:30:00,London St Pancras,Birmingham New Street,5:50:00,5:50:00,On Time,No delay,0,96,Weekday
Manchester Piccadilly to London Paddington,1/3/2024,1:45:00,Manchester Piccadilly,London Paddington,4:00:00,4:00:00,On Time,No delay,0,97,Weekday
London Kings Cross to York,1/3/2024,1:45:00,London Kings Cross,York,3:35:00,3:35:00,On Time,No delay,0,98,Weekday
Liverpool Lime Street to Leeds,1/3/2024,1:45:00,Liverpool Lime Street,Leeds,3:15:00,3:15:00,On Time,No delay,0,99,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,2:00:00,Liverpool Lime Street,Manchester Piccadilly,2:30:00,2:30:00,On Time,No delay,0,100,Weekday
London Paddington to Reading,1/3/2024,2:00:00,London Paddington,Reading,3:00:00,3:00:00,On Time,No delay,0,101,Weekday
London St Pancras to Birmingham New Street,1/2/2024,5:00:00,London St Pancras,Birmingham New Street,6:20:00,,Cancelled,Staff Shortage,,102,Weekday
London Kings Cross to York,1/3/2024,2:00:00,London Kings Cross,York,3:50:00,3:50:00,On Time,No delay,0,103,Weekday
London Euston to Birmingham New Street,1/2/2024,5:15:00,London Euston,Birmingham New Street,6:35:00,6:35:00,On Time,No delay,0,104,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,5:45:00,Manchester Piccadilly,Liverpool Lime Street,6:15:00,6:15:00,On Time,No delay,0,105,Weekday
London Euston to Birmingham New Street,1/2/2024,5:45:00,London Euston,Birmingham New Street,7:05:00,7:05:00,On Time,No delay,0,106,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,3:00:00,Liverpool Lime Street,Manchester Piccadilly,3:30:00,3:30:00,On Time,No delay,0,107,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,6:00:00,Manchester Piccadilly,Liverpool Lime Street,6:30:00,6:30:00,On Time,No delay,0,108,Weekday
London Kings Cross to York,1/2/2024,6:15:00,London Kings Cross,York,8:05:00,8:35:00,Delayed,Technical Issue,30,109,Weekday
London Paddington to Reading,1/3/2024,3:15:00,London Paddington,Reading,4:15:00,4:15:00,On Time,No delay,0,110,Weekday
London Paddington to Reading,1/2/2024,6:15:00,London Paddington,Reading,7:15:00,7:15:00,On Time,No delay,0,111,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,6:15:00,Manchester Piccadilly,Liverpool Lime Street,6:45:00,6:45:00,On Time,No delay,0,112,Weekday
Birmingham New Street to Stafford,1/2/2024,6:30:00,Birmingham New Street,Stafford,7:00:00,7:00:00,On Time,No delay,0,113,Weekday
London Euston to Birmingham New Street,1/2/2024,6:30:00,London Euston,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,114,Weekday
London St Pancras to Birmingham New Street,1/2/2024,6:30:00,London St Pancras,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,115,Weekday
Manchester Piccadilly to London Euston,1/3/2024,3:30:00,Manchester Piccadilly,London Euston,5:20:00,5:38:00,Delayed,Weather Conditions,18,116,Weekday
Birmingham New Street to London Euston,1/2/2024,6:30:00,Birmingham New Street,London Euston,7:50:00,7:50:00,On Time,No delay,0,117,Weekday
York to Doncaster,1/2/2024,6:30:00,York,Doncaster,7:00:00,7:00:00,On Time,No delay,0,118,Weekday
London Euston to Manchester Piccadilly,1/2/2024,6:30:00,London Euston,Manchester Piccadilly,8:20:00,8:20:00,On Time,No delay,0,119,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,6:45:00,Manchester Piccadilly,Liverpool Lime Street,7:15:00,7:15:00,On Time,No delay,0,120,Weekday
London Kings Cross to York,1/3/2024,4:00:00,London Kings Cross,York,5:50:00,5:50:00,On Time,No delay,0,121,Weekday
London Euston to Birmingham New Street,1/2/2024,7:15:00,London Euston,Birmingham New Street,8:35:00,8:35:00,On Time,No delay,0,122,Weekday
London Euston to Birmingham New Street,1/2/2024,7:30:00,London Euston,Birmingham New Street,8:50:00,8:50:00,On Time,No delay,0,123,Weekday
London Kings Cross to York,1/2/2024,7:30:00,London Kings Cross,York,9:20:00,9:20:00,On Time,No delay,0,124,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/2/2024,7:30:00,Liverpool Lime Street,Manchester Piccadilly,8:00:00,8:00:00,On Time,No delay,0,125,Weekday
London St Pancras to Birmingham New Street,1/3/2024,4:30:00,London St Pancras,Birmingham New Street,5:50:00,5:50:00,On Time,No delay,0,126,Weekday
Birmingham New Street to London St Pancras,1/3/2024,4:30:00,Birmingham New Street,London St Pancras,5:50:00,5:50:00,On Time,No delay,0,127,Weekday
Reading to Swindon,1/2/2024,7:30:00,Reading,Swindon,8:15:00,8:15:00,On Time,No delay,0,128,Weekday
London Kings Cross to York,1/2/2024,7:45:00,London Kings Cross,York,9:35:00,9:35:00,On Time,No delay,0,129,Weekday
London Euston to Birmingham New Street,1/2/2024,8:00:00,London Euston,Birmingham New Street,9:20:00,9:20:00,On Time,No delay,0,130,Weekday
Liverpool Lime Street to London Euston,1/2/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,,Cancelled,Staff Shortage,,131,Weekday
Liverpool Lime Street to London Euston,1/3/2024,5:00:00,Liverpool Lime Street,London Euston,7:15:00,7:15:00,On Time,No delay,0,132,Weekday
London Euston to Manchester Piccadilly,1/2/2024,8:00:00,London Euston,Manchester Piccadilly,9:50:00,9:50:00,On Time,No delay,0,133,Weekday
London St Pancras to Birmingham New Street,1/2/2024,8:00:00,London St Pancras,Birmingham New Street,9:20:00,,Cancelled,Signal Failure,,134,Weekday
Oxford to Bristol Temple Meads,1/2/2024,8:00:00,Oxford,Bristol Temple Meads,9:15:00,9:15:00,On Time,No delay,0,135,Weekday
London St Pancras to Birmingham New Street,1/2/2024,8:15:00,London St Pancras,Birmingham New Street,9:35:00,9:35:00,On Time,No delay,0,136,Weekday
London Euston to Birmingham New Street,1/2/2024,8:15:00,London Euston,Birmingham New Street,9:35:00,9:35:00,On Time,No delay,0,137,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,8:30:00,Manchester Piccadilly,Liverpool Lime Street,9:00:00,9:00:00,On Time,No delay,0,138,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/3/2024,5:30:00,Manchester Piccadilly,Liverpool Lime Street,6:00:00,6:00:00,On Time,No delay,0,139,Weekday
London Paddington to Oxford,1/2/2024,7:45:00,London Paddington,Oxford,9:15:00,9:15:00,On Time,No delay,0,140,Weekday
London Paddington to Reading,1/2/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,141,Weekday
London Paddington to Reading,1/2/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,142,Weekday
London Euston to Birmingham New Street,1/3/2024,5:45:00,London Euston,Birmingham New Street,7:05:00,7:05:00,On Time,No delay,0,143,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,8:45:00,Manchester Piccadilly,Liverpool Lime Street,9:15:00,9:15:00,On Time,No delay,0,144,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,5:45:00,Liverpool Lime Street,Manchester Piccadilly,6:15:00,6:15:00,On Time,No delay,0,145,Weekday
Manchester Piccadilly to Nottingham,1/2/2024,9:00:00,Manchester Piccadilly,Nottingham,10:00:00,10:59:00,Delayed,Signal Failure,59,146,Weekday
Manchester Piccadilly to Leeds,1/2/2024,9:00:00,Manchester Piccadilly,Leeds,9:45:00,12:39:00,Delayed,Signal Failure,174,147,Weekday
London Kings Cross to York,1/2/2024,9:00:00,London Kings Cross,York,10:50:00,10:50:00,On Time,No delay,0,148,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/3/2024,6:00:00,Manchester Piccadilly,Liverpool Lime Street,6:30:00,6:30:00,On Time,No delay,0,149,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,9:00:00,Manchester Piccadilly,Liverpool Lime Street,9:30:00,9:30:00,On Time,No delay,0,150,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/3/2024,6:15:00,Manchester Piccadilly,Liverpool Lime Street,6:45:00,,Cancelled,Signal Failure,,151,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,9:15:00,Manchester Piccadilly,Liverpool Lime Street,9:45:00,9:45:00,On Time,No delay,0,152,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/3/2024,7:15:00,Manchester Piccadilly,Liverpool Lime Street,7:45:00,7:45:00,On Time,No delay,0,153,Weekday
York to Doncaster,1/3/2024,6:30:00,York,Doncaster,7:00:00,7:00:00,On Time,No delay,0,154,Weekday
Birmingham New Street to London St Pancras,1/3/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,7:50:00,On Time,No delay,0,155,Weekday
London St Pancras to Birmingham New Street,1/3/2024,6:30:00,London St Pancras,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,156,Weekday
London Paddington to Oxford,1/3/2024,7:45:00,London Paddington,Oxford,9:15:00,9:15:00,On Time,No delay,0,157,Weekday
London Kings Cross to York,1/2/2024,9:45:00,London Kings Cross,York,11:35:00,,Cancelled,Staff Shortage,,158,Weekday
London Paddington to Reading,1/3/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,159,Weekday
London Kings Cross to York,1/3/2024,6:45:00,London Kings Cross,York,8:35:00,8:35:00,On Time,No delay,0,160,Weekday
York to Peterborough,1/3/2024,7:30:00,York,Peterborough,8:40:00,8:40:00,On Time,No delay,0,161,Weekday
London Kings Cross to York,1/2/2024,10:30:00,London Kings Cross,York,12:20:00,12:20:00,On Time,No delay,0,162,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,7:30:00,Liverpool Lime Street,Manchester Piccadilly,8:00:00,8:00:00,On Time,No delay,0,163,Weekday
Reading to Swindon,1/3/2024,7:30:00,Reading,Swindon,8:15:00,8:15:00,On Time,No delay,0,164,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/2/2024,10:45:00,Liverpool Lime Street,Manchester Piccadilly,11:15:00,11:15:00,On Time,No delay,0,165,Weekday
London Kings Cross to York,1/3/2024,7:45:00,London Kings Cross,York,9:35:00,9:35:00,On Time,No delay,0,166,Weekday
London Euston to Manchester Piccadilly,1/3/2024,8:00:00,London Euston,Manchester Piccadilly,9:50:00,9:50:00,On Time,No delay,0,167,Weekday
Liverpool Lime Street to London Euston,1/3/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,11:09:00,Delayed,Weather Conditions,54,168,Weekday
London Kings Cross to York,1/2/2024,11:00:00,London Kings Cross,York,12:50:00,12:50:00,On Time,No delay,0,169,Weekday
London St Pancras to Birmingham New Street,1/2/2024,11:00:00,London St Pancras,Birmingham New Street,12:20:00,12:20:00,On Time,No delay,0,170,Weekday
London Euston to Manchester Piccadilly,1/3/2024,7:45:00,London Euston,Manchester Piccadilly,9:35:00,9:35:00,On Time,No delay,0,171,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,11:15:00,Manchester Piccadilly,Liverpool Lime Street,11:45:00,11:45:00,On Time,No delay,0,172,Weekday
London Euston to Birmingham New Street,1/3/2024,8:15:00,London Euston,Birmingham New Street,9:35:00,,Cancelled,Signal Failure,,173,Weekday
London Euston to Birmingham New Street,1/3/2024,9:45:00,London Euston,Birmingham New Street,11:05:00,11:05:00,On Time,No delay,0,174,Weekday
London Paddington to Reading,1/3/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,175,Weekday
Manchester Piccadilly to Leeds,1/3/2024,9:00:00,Manchester Piccadilly,Leeds,9:45:00,10:22:00,Delayed,Signal Failure,37,176,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/3/2024,9:00:00,Liverpool Lime Street,Manchester Piccadilly,9:30:00,9:30:00,On Time,No delay,0,177,Weekday
London St Pancras to Birmingham New Street,1/2/2024,12:00:00,London St Pancras,Birmingham New Street,13:20:00,13:20:00,On Time,No delay,0,178,Weekday
London Paddington to Reading,1/3/2024,9:00:00,London Paddington,Reading,10:00:00,10:00:00,On Time,No delay,0,179,Weekday
London Kings Cross to Liverpool Lime Street,1/3/2024,9:15:00,London Kings Cross,Liverpool Lime Street,11:30:00,11:30:00,On Time,No delay,0,180,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/2/2024,11:15:00,Liverpool Lime Street,Manchester Piccadilly,11:45:00,12:17:00,Delayed,Technical Issue,32,181,Weekday
London Kings Cross to York,1/3/2024,9:30:00,London Kings Cross,York,11:20:00,11:20:00,On Time,No delay,0,182,Weekday
London Euston to Birmingham New Street,1/3/2024,9:30:00,London Euston,Birmingham New Street,10:50:00,10:50:00,On Time,No delay,0,183,Weekday
London Paddington to Reading,1/2/2024,12:45:00,London Paddington,Reading,13:45:00,13:45:00,On Time,No delay,0,184,Weekday
York to Edinburgh,1/2/2024,12:45:00,York,Edinburgh,15:15:00,15:15:00,On Time,No delay,0,185,Weekday
London Euston to Birmingham New Street,1/2/2024,12:45:00,London Euston,Birmingham New Street,14:05:00,14:05:00,On Time,No delay,0,186,Weekday
Reading to London Paddington,1/2/2024,13:30:00,Reading,London Paddington,13:55:00,,Cancelled,Staff Shortage,,187,Weekday
London Kings Cross to York,1/3/2024,10:30:00,London Kings Cross,York,12:20:00,12:20:00,On Time,No delay,0,188,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,13:30:00,Manchester Piccadilly,Liverpool Lime Street,14:00:00,14:00:00,On Time,No delay,0,189,Weekday
